,Unnamed: 0,date,image_url,news_url,sentiment,source_name,text,tickers,title,topics,type
15,15,"Mon, 11 Jan 2021 09:00:01 -0500",https://cdn.snapi.dev/images/v1/c/r/106820380-1609983164115-surface-pro-7-image-10.jpg,https://www.cnbc.com/2021/01/11/microsoft-surface-pro-7-plus-for-business-price-release-date.html,Positive,CNBC,Microsoft's Surface PC hasn't changed much under Satya Nadella. Now there's a version for businesses to match the company's sharper focus on enterprises.,['MSFT'],Microsoft releases Surface Pro tablet for business and education,['product'],Article
16,16,"Mon, 11 Jan 2021 09:00:01 -0500",https://cdn.snapi.dev/images/v1/n/y/106818873-1609806150968-gettyimages-955692278-ms-build-conference.jpeg,https://www.cnbc.com/2021/01/11/microsoft-azure-coming-to-terra-co-created-by-alphabet-verily.html,Positive,CNBC,"The move exemplifies Google Cloud's struggles to gain traction, as well as Microsoft's success enlisting a broad range of Azure partners across industries.","['MSFT', 'GOOG', 'GOOGL']",Microsoft's cloud will now help power a project co-created by Google sister company Verily,[],Article
17,17,"Mon, 11 Jan 2021 08:55:04 -0500",https://cdn.snapi.dev/images/v1/j/f/top-stocks-to-buy-today-as-markets-respond-to-mixed-sentiment.jpg,https://investorplace.com/2021/01/9-safe-stocks-to-buy-to-start-new-year-right/,Positive,InvestorPlace,"With 2020 delivering surprisingly robust returns for risk-on names, it's tempting to ride that bandwagon. However, some evidence indicates that you should turn instead to safe stocks to buy.","['AMZN', 'CVS', 'DG', 'DPZ', 'IIPR', 'MSFT', 'NFLX', 'WMT', 'YORW']",9 of the Safest Stocks to Start 2021,[],Article
18,18,"Mon, 11 Jan 2021 08:05:51 -0500",https://cdn.snapi.dev/images/v1/d/c/bank50.jpg,https://seekingalpha.com/article/4398203-5-dividend-stocks-i-wouldnt-touch-10-foot-pole-in-2021,Negative,Seeking Alpha,We are often asked what stocks we are buying and why. Understanding why we wouldn't touch certain stocks helps.,"['CVX', 'HD', 'IBM', 'KO', 'MMM', 'MSFT', 'SBUX', 'SMG', 'TXN']",5 Dividend Stocks I Wouldn't Touch With A 10-Foot Pole In 2021,"['dividend', 'paylimitwall']",Article
19,19,"Sun, 10 Jan 2021 06:05:00 -0500",https://cdn.snapi.dev/images/v1/u/r/urlhttps3a2f2fgfoolcdncom2feditorial2fimages2f6075262fnyse-wall-street-trading-new-york-financial-stock-market-gettyjpgw700opresize.jpg,https://www.fool.com/investing/2021/01/10/9-dow-stocks-most-upside-potential-to-wall-street/,Positive,The Motley Fool,Each and every one of these brand-name companies offers double-digit upside.,"['CRM', 'CVX', 'HD', 'KO', 'MCD', 'MRK', 'MSFT', 'NKE', 'WMT']","9 Dow Stocks With the Most Upside Potential, According to Wall Street",[],Article
20,20,"Fri, 08 Jan 2021 08:15:00 -0500",https://cdn.snapi.dev/images/v1/m/5/104726953-microsoft-satya-nadella-2-high-res530x298.jpg,https://www.fool.com/investing/2021/01/08/is-microsoft-stock-a-buy/,Positive,The Motley Fool,"Despite already being a $1.6 trillion company, Microsoft has a few tricks up its sleeve to grow even more.",['MSFT'],Is Microsoft Stock a Buy?,[],Article
21,21,"Thu, 07 Jan 2021 16:22:57 -0500",https://cdn.snapi.dev/images/v1/f/a/faang-stocks-rebound-after-democratic-wins-in-georgia-shake-big-tech.jpg,https://www.businessinsider.com/faang-stocks-rebound-after-democratic-wins-georgia-shake-big-tech-2021-1,Positive,Business Insider,"Jon Ossoff and Raphael Warnock pulled off narrow victories in the Georgia Senate election runoffs Wednesday. This led to uncertainty for FAANG names, which were down across the board, as investors digested the likelihood of increased regulation for Big Tech under a Democrat-controlled government. Still, despite the Big tech route, the Dow Jones Industrial Average managed to continue its ongoing rally with a 500 point up-swing on the day.","['AAPL', 'AMZN', 'FB', 'GOOG', 'GOOGL', 'MSFT', 'NFLX']",FAANG stocks rebound after Democratic wins in Georgia shake Big Tech,['paylimitwall'],Article
22,22,"Thu, 07 Jan 2021 14:30:19 -0500",https://cdn.snapi.dev/images/v1/n/h/microsoft-22jpgw600.jpg,https://investorplace.com/2021/01/why-microsoft-stock-bulls-should-remain-positive/,Positive,InvestorPlace,"It's been an ugly start to 2021 for Microsoft stock, but wary investors would be wise not to put the horse before the cart The post Why Microsoft Stock Bulls Should Remain Positive appeared first on InvestorPlace. More From InvestorPlace Why Everyone Is Investing in 5G All WRONG Top Stock Picker Reveals His Next 1,000% Winner Radical New Battery Could Dismantle Oil Markets",['MSFT'],Why Microsoft Stock Bulls Should Remain Positive,[],Article
23,23,"Thu, 07 Jan 2021 09:02:16 -0500",https://cdn.snapi.dev/images/v1/3/t/bank31.jpg,https://www.zacks.com/stock/news/1242360/3-stocks-to-ride-bitcoins-record-breaking-start-to-2021,Positive,Zacks Investment Research,"With bitcoin touching new highs, it's imperative to watch out for stocks like PayPal (PYPL), Microsoft (MSFT) and JPMorgan Chase (JPM) that can tap the rising bitcoin trend.","['JPM', 'MSFT', 'SQ']",3 Stocks to Ride Bitcoin's Record-Breaking Start to 2021,[],Article
24,24,"Wed, 06 Jan 2021 12:26:46 -0500",https://cdn.snapi.dev/images/v1/m/q/former-twitter-ceo-dick-costolo-on-the-potential-for-tech-regulation.jpg,https://www.youtube.com/watch?v=fpycmUqeyek,Negative,CNBC Television,"Dick Costolo, 01 Advisors managing partner and former Twitter CEO, joins ""Squawk Alley"" to discuss the potential for tech regulation.","['AAPL', 'AMZN', 'FB', 'GOOG', 'GOOGL', 'MSFT']",Former Twitter CEO Dick Costolo on the potential for tech regulation,[],Video
25,25,"Wed, 06 Jan 2021 11:47:45 -0500",https://cdn.snapi.dev/images/v1/m/q/investor-joe-lonsdale-on-how-georgia-senate-runoff-races-could-impact-tech-stocks.jpg,https://www.youtube.com/watch?v=G1kMYBKInss,Negative,CNBC Television,"Joe Lonsdale, 8VC founding partner and Palantir co-founder, joined ""Squawk Box"" on Wednesday to discuss why some of the most popular stay-at-home stocks such as Peloton and Netflix that moved lower Wednesday morning and how much the Georgia Senate runoff races may be contributing to the market volatility.","['AAPL', 'AMZN', 'FB', 'GOOG', 'GOOGL', 'MSFT']",Investor Joe Lonsdale on how Georgia Senate runoff races could impact tech stocks,['Political'],Video
26,26,"Wed, 06 Jan 2021 09:35:08 -0500",https://cdn.snapi.dev/images/v1/f/q/20160404-envision-437-768x513.jpg,https://investorplace.com/2021/01/microsoft-put-writes-for-quick-income/,Neutral,InvestorPlace,"Today we are eyeing Microsoft (NASDAQ:MSFT) as a target for short puts, but we want to make sure they expire before earnings later this month. The post Microsoft Put Writes for Quick Income appeared first on InvestorPlace.",['MSFT'],Microsoft Put Writes for Quick Income,[],Article
27,27,"Wed, 06 Jan 2021 09:02:12 -0500",https://cdn.snapi.dev/images/v1/q/g/amazon-fashion-t-shirts-457x274.jpg,https://www.zacks.com/stock/news/1241710/5-cloud-stocks-to-watch-amid-rising-shift-to-digitization,Positive,Zacks Investment Research,"Cloud computing looks poised to continue its robust growth as organizations adapt to digitization, making it wise to keep an eye on names like Dropbox (DBX) and Microsoft (MSFT).","['AMZN', 'DBX', 'DOCU', 'MSFT', 'TTD']",5 Cloud Stocks to Watch Amid Rising Shift to Digitization,[],Article
28,28,"Wed, 06 Jan 2021 07:14:00 -0500",https://cdn.snapi.dev/images/v1/b/e/im-281208.jpg,https://www.barrons.com/articles/apple-microsoft-and-other-tech-stocks-get-clobbered-as-georgia-runoff-nears-end-51609935277,Negative,Barrons,The Georgia Senate runoffs remain too close to call but the stock market is already betting on Democrats winning both seats—and taking the Senate.,"['AAPL', 'MSFT']","Apple, Microsoft, and Other Tech Stocks Get Clobbered as Georgia Runoff Nears End","['paywall', 'Political']",Article
29,29,"Tue, 05 Jan 2021 19:28:27 -0500",https://cdn.snapi.dev/images/v1/h/g/hgg3222.,https://www.youtube.com/watch?v=qi1kP56XI9A,Positive,CNBC International TV,"Secular drivers such as cloud, cybersecurity and digital transformation could lead to a ""golden age"" of re-rating, making this an opportunity to own tech stocks, says Daniel Ives of Wedbush Securities.","['AAPL', 'AMZN', 'FB', 'GOOG', 'GOOGL', 'MSFT']",Tech stocks could rise as much as 25% over 2021: Wedbush Securities,[],Video
30,30,"Tue, 05 Jan 2021 18:48:23 -0500",https://cdn.snapi.dev/images/v1/k/u/mw-hd730-micros-20190211130930-zh.jpg,https://www.zacks.com/stock/news/1241527/microsoft-msft-gains-but-lags-market-what-you-should-know,Positive,Zacks Investment Research,"In the latest trading session, Microsoft (MSFT) closed at $217.90, marking a +0.1% move from the previous day.",['MSFT'],Microsoft (MSFT) Gains But Lags Market: What You Should Know,[],Article
31,31,"Tue, 05 Jan 2021 18:44:08 -0500",https://cdn.snapi.dev/images/v1/m/i/minecraft-earth-official-image-768x328.jpg,https://www.geekwire.com/2021/microsoft-owned-mojang-studios-shutting-ar-powered-minecraft-earth-game-june/,Negative,GeekWire,"The developers behind Minecraft Earth have announced that the augmented reality mobile game is being shut down in June, due largely to complications from the COVID-19 pandemic.",['MSFT'],Microsoft-owned Mojang Studios shutting down AR-powered ‘Minecraft Earth' game in June,[],Article
32,32,"Tue, 05 Jan 2021 09:47:07 -0500",https://cdn.snapi.dev/images/v1/1/0/105820487-1553804775384gettyimages-1127719626530x298---83sqpvbllb.jpeg,https://www.zacks.com/stock/news/1241110/microsofts-msft-efforts-to-boost-windows-os-bode-well,Positive,Zacks Investment Research,Microsoft's efforts to overhaul Windows OS to boost efficiency for users is likely to drive the demand for its office productivity software suite.,['MSFT'],Microsoft's (MSFT) Efforts to Boost Windows OS Bode Well,[],Article
33,33,"Tue, 05 Jan 2021 06:00:00 -0500",https://cdn.snapi.dev/images/v1/m/i/microsofts-stock-gained-240-in-last-3-years-will-the-gains-continue.jpg,https://www.forbes.com/sites/greatspeculations/2021/01/05/microsofts-stock-gained-240-in-last-3-years-will-the-gains-continue/,Positive,Forbes,"After gaining nearly 9% since the end of FY 2020 (ended June 2020), Microsoft's stock is at its near term potential. MSFT's stock grew from $204 in June 2020 to near $222 currently, compared to the S&P 500 which gained 20% in the same period.",['MSFT'],"Microsoft's Stock Gained 240% In Last 3 Years, Will The Gains Continue?",[],Article
34,34,"Mon, 04 Jan 2021 16:19:13 -0500",https://cdn.snapi.dev/images/v1/1/0/106810843-1607962037162nyse-trading-floor-photo-20201214-press-5-jpg.jpg,https://www.cnbc.com/2021/01/04/big-tech-stocks-kick-off-2021-with-a-slump-amid-broader-sell-off.html,Negative,CNBC,"Shares of the largest technology companies dipped in the first trading day of 2021, a rough start for the sector that posted big gains in 2020.","['AAPL', 'AMZN', 'FB', 'MSFT', 'NFLX']",Big Tech kicks off 2021 with a slump amid broader sell-off,[],Article
35,35,"Mon, 04 Jan 2021 15:15:23 -0500",https://cdn.snapi.dev/images/v1/m/q/big-tech-under-pressure-as-new-year-kicks-off.jpg,https://www.youtube.com/watch?v=WdBRmUw3n6s,Negative,CNBC Television,CNBC's Josh Lipton reports on the tech stock sell-off and the bright spots amid the wreckage.,"['AAPL', 'AMZN', 'FB', 'GOOG', 'GOOGL', 'MSFT']",Big tech under pressure as New Year kicks off,[],Video
36,36,"Mon, 04 Jan 2021 15:12:16 -0500",https://cdn.snapi.dev/images/v1/w/j/software45.jpg,https://investorplace.com/2021/01/seven-growth-stocks-first-off-the-starting-line-this-new-year/,Positive,InvestorPlace,Here are seven growth stocks to buy now that are poised to bring momentum and opportunity to investors during the new year. The post 7 Growth Stocks First Off the Starting Line This New Year appeared first on InvestorPlace.,"['ADBE', 'BABA', 'BAC', 'FB', 'GE', 'MSFT', 'PYPL']",7 Growth Stocks First Off the Starting Line This New Year,[],Article
37,37,"Mon, 04 Jan 2021 09:56:12 -0500",https://cdn.snapi.dev/images/v1/z/v/105359522-1532725827477gettyimages-962154428.jpeg,https://www.zacks.com/stock/news/1240542/microsofts-msft-probe-detects-hackers-access-to-source-code,Negative,Zacks Investment Research,Microsoft's (MSFT) ongoing probe pertaining to the SolarWinds cyberattack detects that suspected hackers viewed some of its source code.,['MSFT'],Microsoft's (MSFT) Probe Detects Hackers' Access to Source Code,[],Article
38,38,"Mon, 04 Jan 2021 09:56:04 -0500",https://cdn.snapi.dev/images/v1/w/p/uuja111.jpg,https://www.zacks.com/stock/news/1240595/5-stocks-to-benefit-from-the-as-a-service-revolution,Positive,Zacks Investment Research,"Robust spending on cloud computing services bodes well for SaaS, PaaS and IaaS service providers like TTD, ZS, DBX, MSFT and AMZN.","['AMZN', 'DBX', 'MSFT', 'TTD', 'ZS']","5 Stocks to Benefit From the ""As-a-Service"" Revolution",[],Article
39,39,"Mon, 04 Jan 2021 08:40:33 -0500",https://cdn.snapi.dev/images/v1/p/a/hacker-gu-577f9e9d3df78c1e1fb0b9c4.jpg,https://www.investopedia.com/microsoft-msft-finds-source-code-breach-but-sees-no-risks-5094140,Neutral,Investopedia,"Microsoft (MSFT) revealed that its own source code has been viewed by hackers, most likely those involved in the SolarWinds (SWI) breach.",['MSFT'],Microsoft (MSFT) Finds Source Code Breach but Sees No Risks,[],Article
40,40,"Mon, 04 Jan 2021 08:26:05 -0500",https://cdn.snapi.dev/images/v1/z/a/top-stocks-to-buy-today-as-pfizer-gives-markets-a-boost.jpg,https://www.zacks.com/stock/news/1240402/3-stocks-to-benefit-from-increasing-adoption-of-hybrid-cloud,Positive,Zacks Investment Research,"Here we discuss three hybrid cloud stocks -- AMZN, MSFT & VMW -- that are well poised to benefit from the increasing adoption of hybrid cloud.","['AMZN', 'MSFT', 'VMW']",3 Stocks to Benefit From Increasing Adoption of Hybrid Cloud,[],Article
41,41,"Mon, 04 Jan 2021 07:00:00 -0500",https://cdn.snapi.dev/images/v1/4/f/press10---glgn4xc4a7.jpg,https://www.accesswire.com/viewarticle.aspx?id=622628,Neutral,Accesswire,"EDMONTON, AB / ACCESSWIRE / January 4, 2021 / OneSoft Solutions Inc. (TSX-V:OSS)(OTCQB:OSSIF) (the ""Company"" or ""OneSoft"") today announced that it will be presenting at the SNN Network Canada Virtual Event on Thursday, January 7, 2021 at 11:30AM ET / 8:30AM PT. Brandon Taylor, President and COO, will be hosting the presentation and answering questions from investors.","['MSFT', 'OSSIF']","OneSoft Solutions Presenting at the SNN Network Canada Virtual Event on Thursday, January 7, 2021",['PressRelease'],Article
42,42,"Sun, 03 Jan 2021 07:00:26 -0500",https://cdn.snapi.dev/images/v1/d/l/urlhttps3a2f2fgfoolcdncom2feditorial2fimages2f5280582fapple-piazza-liberty-piazza-center-steps-07242018jpgw700opresize.jpg,https://247wallst.com/investing/2021/01/03/these-four-companies-led-by-apple-had-market-caps-over-1-trillion-at-the-end-of-2020/,Positive,24/7 Wall Street,"The stock market hit nose bleed levels at the end of 2020, which took the market caps of many of America's largest companies to records and allowed private company after private company enter the market with an IPO.","['AAPL', 'AMZN', 'GOOG', 'GOOGL', 'MSFT']","These Four Companies, Led By Apple, Had Market Caps Over $1 Trillion At The End Of 2020",[],Article
43,43,"Sun, 03 Jan 2021 04:30:00 -0500",https://cdn.snapi.dev/images/v1/v/s/im-235136.jpg,https://www.barrons.com/articles/microsoft-soared-in-2020-as-it-captured-the-cloud-expect-more-gains-51609666200,Positive,Barrons,Microsoft has stood out by making a successful transition to cloud computing from its past focus on data centers and packaged software. That has paid off big for the tech company this year.,['MSFT'],Microsoft Soared in 2020 as It Captured Cloud Business. There's More To Come.,['paywall'],Article
44,44,"Fri, 01 Jan 2021 09:00:00 -0500",https://cdn.snapi.dev/images/v1/k/m/urlhttps3a2f2fgfoolcdncom2feditorial2fimages2f5571992ffinancial-newspaper-dollar-sign-gettyjpgw700opresize.jpg,https://www.fool.com/investing/2021/01/01/buy-these-3-stocks-before-the-market-corrects-in-2/,Positive,The Motley Fool,"If another downturn hits, these three rock-solid stocks are built for tough times, with upside to boot.","['COST', 'MSFT', 'BRK-A', 'BRK-B']",Buy These 3 Stocks Before the Market Corrects in 2021,[],Article
45,45,"Thu, 31 Dec 2020 17:45:58 -0500",https://cdn.snapi.dev/images/v1/9/v/solarwinds-hackers-accessed-source-code-microsoft-says.jpg,https://www.youtube.com/watch?v=kIr5ZUp6A2g,Negative,Fox Business,Former Chief Information Officer of the FBI Gordon Bitko reacts to SolarWinds hackers accessing the source code in Microsoft with FOX Business' Cheryl Casone. #FoxBusiness Subscribe to Fox Business!,"['SWI', 'MSFT']","SolarWinds hackers accessed source code, Microsoft says",[],Video
46,46,"Thu, 31 Dec 2020 16:29:13 -0500",https://cdn.snapi.dev/images/v1/s/t/stocks23-1---xgy2wsboak.jpg,https://www.cnbc.com/2020/12/31/techs-top-seven-companies-added-3point4-trillion-in-value-in-2020.html,Positive,CNBC,"Big Tech got much bigger in 2020, and Tesla joined the pack of mega-cap tech stocks after climbing ninefold.","['AAPL', 'AMZN', 'FB', 'GOOG', 'GOOGL', 'MSFT', 'NVDA', 'TSLA']",Tech's top seven companies added $3.4 trillion in value in 2020,[],Article
47,47,"Thu, 31 Dec 2020 14:19:12 -0500",https://cdn.snapi.dev/images/v1/s/0/microsoft-reveals-solarwinds-hackjpgquality90stripall.jpg,https://nypost.com/2020/12/31/microsoft-reveals-solarwinds-hackers-were-able-to-access-its-source-code/,Negative,New York Post,"The hacking group behind the SolarWinds compromise was able to break into Microsoft and access some of the company's source code, Microsoft said Thursday. In a blog post, the company said its investigation had turned up irregularities with a “small number of internal accounts” and that one of the accounts “had been used to view source code.","['MSFT', 'SWI']",Microsoft reveals SolarWinds hackers were able to access its source code,[],Article
48,48,"Thu, 31 Dec 2020 13:49:17 -0500",https://cdn.snapi.dev/images/v1/s/z/microsoftlogo2.jpg,https://www.geekwire.com/2020/microsoft-says-solarwinds-hackers-viewed-source-code-internal-defenses-thwarted-damage/,Negative,GeekWire,"An illicit account associated with the widespread SolarWinds hack was used to view some of Microsoft's internal source code, the company disclosed Thursday morning.","['SWI', 'MSFT']","Microsoft says SolarWinds hackers viewed source code, but internal defenses thwarted further damage",[],Article
49,49,"Thu, 31 Dec 2020 13:17:00 -0500",https://cdn.snapi.dev/images/v1/w/b/m02d20201231t2i1546293785w940fhfwllplsqrlynxmpegbu0sr.jpg,https://www.reuters.com/article/us-global-cyber-microsoft/solarwinds-hackers-were-able-to-access-microsoft-source-code-microsoft-blog-post-idUSKBN2951M9,Negative,Reuters,"The hacking group behind the SolarWinds compromise was able to break into Microsoft and access some of the company's source code, the firm said on Thursday.","['MSFT', 'SWI']",SolarWinds hackers were able to access Microsoft source code: Microsoft blog post,[],Article
50,50,"Thu, 31 Dec 2020 11:40:51 -0500",https://cdn.snapi.dev/images/v1/m/o/asset-management40.jpg,https://investorplace.com/2020/12/9-upgraded-stocks-to-pay-attention-to/,Positive,InvestorPlace,Not everyone follows the guidance of analysts' upgraded stocks but they do serve a purpose in providing a reflection of general market sentiment. The post 9 Stocks the Experts Are Upgrading appeared first on InvestorPlace.,"['EXR', 'M', 'MAN', 'MSFT', 'RCII', 'TMUS', 'VSTO', 'WELL', 'WMT']",9 Stocks the Experts Are Upgrading,[],Article
51,51,"Thu, 31 Dec 2020 10:54:13 -0500",https://cdn.snapi.dev/images/v1/d/i/didk22.,https://www.fool.com/investing/2020/12/31/amazon-still-cant-crush-these-3-resilient-companie/,Positive,The Motley Fool,The e-commerce and cloud giant still has plenty of blind spots.,"['ETSY', 'MSFT', 'SHOP']",Amazon Still Can't Crush These 3 Resilient Companies,[],Article
52,52,"Thu, 31 Dec 2020 07:45:22 -0500",https://cdn.snapi.dev/images/v1/s/o/sodk22.,https://www.youtube.com/watch?v=4TvBt2DSogM,Positive,CNBC Television,Jason Ware of Albion Financial Group discusses whether large cap tech names will continue to be the market leaders in the new year.,"['AAPL', 'AMZN', 'FB', 'GOOG', 'GOOGL', 'MSFT']",Albion: Big tech has done well with or without economic stimulus,[],Video
